Interface,Color,Time,Correct
cube,red,912,1
baseline,green,267,0
baseline,yellow,182,0
baseline,green,191,0
plain,purple,162,0
plain,red,203,0
plain,green,192,0
h2,purple,172,0
h1,brown,193,0
h2,yellow,204,1
plain,purple,201,0
h3,yellow,184,0
h2,yellow,212,0
h1,purple,193,0
h3,yellow,203,0
baseline,yellow,203,0
h1,red,212,0
cube,brown,212,0
h1,brown,201,0
plain,purple,205,0
baseline,green,191,1
h3,yellow,203,0
h1,green,213,0
plain,brown,213,0
