Interface,Color,Time,Correct
plain,yellow,4091,1
h1,brown,1169,1
h2,brown,858,1
h3,green,703,1
cube,red,797,1
h2,purple,959,1
h1,red,1128,1
cube,purple,1096,1
h3,green,1040,1
plain,brown,904,1
h3,purple,1255,1
h3,green,791,1
h1,purple,863,1
baseline,brown,884,1
baseline,red,1111,1
plain,red,944,1
plain,blue,672,1
h1,blue,720,1
cube,yellow,1122,1
baseline,yellow,704,1
h3,red,1127,1
h2,brown,1561,1
h2,green,957,1
h1,blue,1528,1
