Interface,Color,Time,Correct
h2,red,74,0
plain,green,145,0
cube,blue,107,0
h3,yellow,160,0
plain,green,151,0
baseline,green,99,0
cube,brown,143,0
plain,red,192,0
h3,red,152,1
baseline,red,152,0
h3,yellow,150,0
h3,brown,184,0
cube,red,161,0
h1,yellow,138,0
plain,blue,161,0
plain,red,181,0
h1,yellow,164,1
plain,blue,161,0
plain,brown,161,1
h2,brown,173,1
cube,red,193,1
baseline,purple,172,0
plain,blue,152,0
h2,yellow,173,0
